AccessionNum	Gene	Allele
LA0996	um	--
LA0997	not	--
LA0997	um	--
LA0998	bu	--
LA0998	dl	--
LA0998	l	--
LA0998	Pn	--
LA0999	dl	--
LA0999	tp	--
LA1000	ah	--
LA1000	nv	--
LA1001	ah	--
LA1001	marm	--
LA1001	pum	--
LA1002	ag	--
LA1002	h	--
LA1002	l-2	--
LA1002	lg	--
LA1002	pe	--
LA1002	t	--
LA1002	u	--
LA1003	inv	--
LA1003	per	--
LA1003	scf	--
LA1004	bls	--
LA1005	vrd	--
LA1006	sy	--
LA1007	I	--
LA1007	Mi	--
LA1007	scl	--
LA1007	Ve	--
LA1008	yg-2	aud
LA1009	icn	--
LA1012	dl	--
LA1012	l	--
LA1013	yv	--
LA1015	h	--
LA1016	dps	--
LA1017	ptb	--
LA1018	h	--
LA1018	Od	--
LA1018	ptb	--
LA1018	u	G
LA1020	H	--
LA1020	u	G
LA1022	I	--
LA1022	Mi	--
LA1022	u	--
LA1022	Ve	--
LA1024	Tm-2	a
LA1028	sucr	--
LA1038	e	--
LA1038	ht	--
LA1038	su	3
LA1048	ae	--
LA1049	af	--
LA1050	Crk	--
LA1051	Del	--
LA1052	d	x
LA1053	dpy	prov3
LA1054	clau	ics
LA1055	uf	--
LA1056	cjf	--
LA1057	yg	--
LA1058	rtd	--
LA1059	glg	--
LA1061	lg-5	--
LA1063	mu	--
LA1067	aut	--
LA1069	rl	--
LA1070	cur	--
LA1070	ru	--
LA1070	sf	--
LA1071	bls	--
LA1071	sf	--
LA1071	sy	--
LA1072	sf	--
LA1072	sy	--
LA1072	um	--
LA1073	afl	--
LA1073	clau	--
LA1074	clau	--
LA1074	ver	--
LA1075	e	--
LA1075	su	3
LA1075	ver	--
LA1076	ra	2
LA1077	ra	2
LA1077	w-4	--
LA1078	ria	--
LA1078	ves-2	--
LA1079	c	--
LA1079	ves-2	--
LA1080	yv	--
LA1081	tl	--
LA1081	yv	--
LA1082	era	--
LA1082	um	--
LA1083	flc	--
LA1083	ig	--
LA1084	ag	--
LA1084	res	--
LA1085	h	--
LA1085	res	--
LA1086	h	--
LA1086	ten	--
LA1088	y	--
LA1093	dgt	--
LA1096	syv	--
